Game,Dealer Win,Player Win,Ties,Dealer Blackjack,Player Blackjack,No blackjack
1,True,False,False,False,False,True
2,False,True,False,False,False,True
3,True,False,False,False,False,True
4,True,True,False,False,False,True
5,True,False,False,False,False,True
6,False,True,False,False,False,True
7,False,True,False,False,False,True
8,False,False,True,True,True,False
9,False,True,False,False,False,True
10,False,True,False,False,False,True
11,False,True,False,False,False,True
12,False,False,True,False,False,True
13,True,False,False,False,False,True
14,True,False,False,False,False,True
15,False,True,False,False,False,True
16,True,False,False,True,False,False
17,True,False,False,False,False,True
18,True,False,False,False,False,True
19,True,False,False,False,False,True
20,False,True,False,False,False,True
21,False,True,False,False,False,True
22,True,False,False,False,False,True
23,False,True,False,False,True,False
24,False,True,False,False,True,False
25,False,True,False,False,False,True
26,True,True,False,False,False,True
27,True,False,False,True,False,False
28,False,True,False,False,False,True
29,False,True,False,False,False,True
30,True,False,False,False,False,True
31,False,True,False,False,False,True
32,False,True,False,False,False,True
33,True,True,False,False,False,True
34,True,False,False,True,False,False
35,False,True,False,False,False,True
36,False,True,False,False,False,True
37,True,True,False,False,False,True
38,True,False,False,False,False,True
39,True,False,False,False,False,True
40,False,True,False,False,False,True
41,True,False,False,False,False,True
42,False,True,False,False,False,True
43,False,True,False,False,False,True
44,False,False,True,False,False,True
45,True,False,False,False,False,True
46,False,True,False,False,False,True
47,False,True,False,False,False,True
48,True,False,False,False,False,True
49,True,False,False,False,False,True
50,False,False,True,False,False,True
51,False,True,False,False,False,True
52,True,False,False,False,False,True
53,False,True,False,False,False,True
54,False,True,False,False,False,True
55,True,False,False,False,False,True
56,False,True,False,False,False,True
57,False,False,True,False,False,True
58,True,False,False,False,False,True
59,False,True,False,False,False,True
60,False,True,False,False,False,True
61,False,False,True,False,False,True
62,True,False,False,False,False,True
63,False,True,False,False,False,True
64,False,True,False,False,False,True
65,False,True,False,False,True,False
66,True,False,False,False,False,True
67,False,True,False,False,False,True
68,True,False,False,False,False,True
69,False,True,False,False,False,True
70,False,True,False,False,False,True
71,False,False,True,False,False,True
72,True,False,False,True,False,False
73,False,True,False,False,False,True
74,True,False,False,False,False,True
75,False,True,False,False,False,True
76,True,False,False,True,False,False
77,False,True,False,False,False,True
78,False,False,True,False,True,False
79,False,True,False,False,False,True
80,False,True,False,False,False,True
81,True,False,False,False,False,True
82,True,False,False,False,False,True
83,True,False,False,False,False,True
84,False,True,False,False,False,True
85,True,False,False,False,False,True
86,True,False,False,False,False,True
87,False,False,True,False,False,True
88,False,True,False,False,False,True
89,False,True,False,False,False,True
90,True,False,False,False,False,True
91,False,True,False,False,False,True
92,False,True,False,False,True,False
93,True,False,False,False,False,True
94,True,False,False,False,False,True
95,False,True,False,False,False,True
96,True,False,False,False,False,True
97,False,True,False,False,False,True
98,True,False,False,False,False,True
99,False,True,False,False,False,True
100,True,False,False,False,False,True
101,True,False,False,False,False,True
102,True,False,False,False,False,True
103,True,True,False,False,False,True
104,True,False,False,False,False,True
105,True,False,False,False,False,True
106,True,False,False,False,False,True
107,True,False,False,False,False,True
108,False,True,False,False,True,False
109,True,False,False,False,False,True
110,True,True,False,False,False,True
111,True,False,False,False,False,True
112,False,True,False,False,False,True
113,True,False,False,False,False,True
114,True,False,False,False,False,True
115,False,True,False,False,False,True
116,True,True,False,False,False,True
117,True,True,False,False,False,True
118,True,False,False,False,False,True
119,True,False,False,True,False,False
120,False,True,False,False,False,True
121,True,False,False,False,False,True
122,False,True,False,False,False,True
123,False,True,False,False,True,False
124,False,True,False,False,False,True
125,False,True,False,False,False,True
126,False,True,False,False,False,True
127,True,False,False,False,False,True
128,False,True,False,False,False,True
129,False,True,False,False,False,True
130,True,False,False,False,False,True
131,False,True,False,False,False,True
132,True,False,False,False,False,True
133,False,True,False,False,False,True
134,False,True,False,False,False,True
135,False,True,False,False,False,True
136,False,False,True,True,False,False
137,False,True,False,False,False,True
138,True,False,False,False,False,True
139,False,True,False,False,False,True
140,False,True,False,False,False,True
141,False,True,False,False,False,True
142,True,False,False,False,False,True
143,False,True,False,False,False,True
144,False,True,False,False,False,True
145,False,True,False,False,False,True
146,False,True,False,False,True,False
147,False,True,False,False,False,True
148,False,True,False,False,False,True
149,False,True,False,False,False,True
150,True,False,False,False,False,True
151,False,True,False,False,True,False
152,True,False,False,True,False,False
153,False,True,False,False,False,True
154,False,False,True,False,False,True
155,False,True,False,False,False,True
156,False,True,False,False,False,True
157,True,False,False,False,False,True
158,False,False,True,False,True,False
159,True,False,False,False,False,True
160,True,False,False,False,False,True
161,False,False,True,False,False,True
162,True,False,False,False,False,True
163,False,True,False,False,False,True
164,False,False,True,False,False,True
165,True,False,False,False,False,True
166,True,False,False,False,False,True
167,False,True,False,False,True,False
168,False,True,False,False,False,True
169,False,True,False,False,False,True
170,False,False,True,False,False,True
171,True,False,False,True,False,False
172,True,False,False,False,False,True
173,True,False,False,False,False,True
174,True,False,False,False,False,True
175,True,False,False,False,False,True
176,False,True,False,False,False,True
177,False,False,True,False,False,True
178,True,False,False,False,False,True
179,True,False,False,False,False,True
180,True,True,False,False,False,True
181,True,False,False,False,False,True
182,False,True,False,False,False,True
183,False,True,False,False,False,True
184,False,True,False,False,False,True
185,False,True,False,False,False,True
186,True,False,False,False,False,True
187,True,False,False,False,False,True
188,True,False,False,False,False,True
189,True,False,False,False,False,True
190,False,True,False,False,True,False
191,True,False,False,False,False,True
192,False,True,False,False,False,True
193,False,False,True,False,False,True
194,False,True,False,False,False,True
195,False,True,False,False,False,True
196,False,True,False,False,False,True
197,False,True,False,False,False,True
198,True,False,False,False,False,True
199,False,False,True,False,False,True
200,False,True,False,False,True,False
201,False,True,False,False,False,True
202,True,True,False,False,False,True
203,False,True,False,False,False,True
204,False,False,True,False,False,True
205,False,True,False,False,False,True
206,False,True,False,False,False,True
207,True,False,False,False,False,True
208,True,False,False,False,False,True
209,True,False,False,True,False,False
210,False,True,False,False,False,True
211,True,False,False,False,False,True
212,False,True,False,False,False,True
213,True,False,False,False,False,True
214,True,True,False,False,False,True
215,True,False,False,False,False,True
216,False,True,False,False,False,True
217,False,True,False,False,False,True
